regione,categoria,numero_enti,numero_servizi
Calabria,Comuni,396,13206
Lombardia,Comuni,1440,40861
Trentino-Alto Adige/Südtirol,Istruzione,111,115
Lombardia,Istruzione,1121,20074
Trentino-Alto Adige/Südtirol,Comuni,280,5719
Toscana,Istruzione,473,8453
Umbria,Istruzione,139,2492
Puglia,Comuni,254,9107
Campania,Istruzione,864,15521
Lazio,Istruzione,689,12308
Valle d'Aosta/Vallée d'Aoste,Istruzione,2,12
Liguria,Istruzione,174,3099
Sicilia,Comuni,381,15326
Toscana,Comuni,269,9276
Veneto,Istruzione,569,10173
Emilia-Romagna,Comuni,330,10920
Liguria,Comuni,230,4912
Sardegna,Comuni,367,13345
Marche,Istruzione,214,3794
Sicilia,Istruzione,736,12874
Basilicata,Comuni,131,6643
Emilia-Romagna,Istruzione,541,9671
Valle d'Aosta/Vallée d'Aoste,Comuni,72,1601
Calabria,Istruzione,287,5107
Umbria,Comuni,90,2399
Friuli-Venezia Giulia,Istruzione,158,2799
Abruzzo,Istruzione,191,3406
Marche,Comuni,224,8062
Piemonte,Comuni,1149,24659
Campania,Comuni,535,17767
Piemonte,Istruzione,534,9568
Sardegna,Istruzione,236,4217
Abruzzo,Comuni,301,10322
Molise,Istruzione,46,825
Veneto,Comuni,556,24207
Basilicata,Istruzione,86,1545
Puglia,Istruzione,573,10256
Friuli-Venezia Giulia,Comuni,213,6371
Lazio,Comuni,366,13612
Molise,Comuni,134,5217
