anno_mese,categoria,numero_transazioni
2024-01,ACI,6936239
2024-01,Altri enti territoriali,481362
2024-01,Comuni,4705612
2024-01,Consorzi universitari,24356
2024-01,Enti comunali,20926
2024-01,Enti provinciali,356
2024-01,Enti regionali,48
2024-01,"Ordini, collegi e consigli professionali",377019
2024-01,Province,173344
2024-01,Pubbliche amministrazioni centrali,9084182
2024-01,Regioni,1317970
2024-01,Ricerca,707
2024-01,Salute centrale,407842
2024-01,Salute locale,956406
2024-01,Salute regionale,2432
2024-01,Salute servizi,34545
2024-01,Scuola,1713813
2024-01,Tutte,38964041
2024-01,Università,430391
2024-01,Utility,12296491
2024-02,ACI,5251155
2024-02,Altri enti territoriali,382309
2024-02,Comuni,3940792
2024-02,Consorzi universitari,24716
2024-02,Enti comunali,11599
2024-02,Enti provinciali,445
2024-02,Enti regionali,38
2024-02,"Ordini, collegi e consigli professionali",507760
2024-02,Province,148428
2024-02,Pubbliche amministrazioni centrali,9329909
2024-02,Regioni,955077
2024-02,Ricerca,343
2024-02,Salute centrale,438253
2024-02,Salute locale,1007968
2024-02,Salute regionale,979
2024-02,Salute servizi,29359
2024-02,Scuola,2323774
2024-02,Tutte,35984100
2024-02,Università,473930
2024-02,Utility,11157266
2024-03,ACI,3245138
2024-03,Altri enti territoriali,397712
2024-03,Comuni,3986958
2024-03,Consorzi universitari,26584
2024-03,Enti comunali,21777
2024-03,Enti provinciali,375
2024-03,Enti regionali,50
2024-03,"Ordini, collegi e consigli professionali",585729
2024-03,Province,153608
2024-03,Pubbliche amministrazioni centrali,8552063
2024-03,Regioni,520471
2024-03,Ricerca,580
2024-03,Salute centrale,456281
2024-03,Salute locale,1043362
2024-03,Salute regionale,1002
2024-03,Salute servizi,32879
2024-03,Scuola,2243220
2024-03,Tutte,33644769
2024-03,Università,540195
2024-03,Utility,11836785
2024-04,ACI,2831236
2024-04,Altri enti territoriali,467262
2024-04,Comuni,4196744
2024-04,Consorzi universitari,21107
2024-04,Enti comunali,18203
2024-04,Enti provinciali,477
2024-04,Enti regionali,38
2024-04,"Ordini, collegi e consigli professionali",455309
2024-04,Province,164361
