anno_mese,notifiche_analogiche,notifiche_digitali,notifiche_totali
2024-09,745514,181562,927076
2023-08,14,357,371
2024-02,67599,19867,87466
2023-12,761068,119334,880402
2025-04,1073568,235185,1308753
2023-11,92095,17880,109975
2025-01,397784,162818,560602
2025-08,597599,233949,831548
2023-07,3236,2042,5278
2024-08,211336,85294,296630
2023-10,529834,218969,748803
2024-06,1096466,172804,1269270
2023-09,143801,7043,150844
2024-12,2143286,272727,2416013
2025-11,2083268,1494106,3577374
2024-03,97968,23292,121260
2024-05,321247,57900,379147
2025-06,1129047,289559,1418606
2025-12,600722,304737,905459
2025-10,1572287,695919,2268206
2025-02,540968,182101,723069
2024-11,493338,138042,631380
2024-10,744926,172444,917370
2025-03,868108,233307,1101415
2024-07,1301874,406360,1708234
2025-07,1721773,652040,2373813
2024-04,83856,33199,117055
2025-09,1427252,393285,1820537
2025-05,787840,244298,1032138
2024-01,59284,17910,77194
